,Text,language,int_label
10,dautres auteurs se sont inspirés de ce village pour agrémenter leurs œuvres on peut citer paul fort dans son recueil ballades françaises mais également quelques écrivains locaux comme eugène soitel avec roissy dans la passé  fernande castelnau avec le carême de roissy-en-france  aimé julien avec le roman de roissy-en-france,French,0
11,nordahl road is a station served by north county transit districts sprinter light rail line it straddles the city limits of san marcos and escondido california with its mailing address in escondido the station is located between barham drive and auto park waynordahl road both of which intersect east mission road it consists of a single platform and track,English,1
12,a talk by takis fotopoulos about the internationalization of the capitalist market economy and the project of inclusive democracy a talk given by takis fotopoulos at the university of vermont in  followed by a discussion in which murray bookchin dan chodorkoff and others take part video in  parts retrieved  january ,English,1
13,while running a campaign to elect his sister sherry martschink to lieutenant governor in  shealy with the help of robert kohn recruited unemployed black fisherman benjamin hunt jr to run for congress against republican arthur ravenel jr shealy sought to increase the turnout of white voters by playing to the racial fears of the south carolina electorate he promised hunt who had a prior drug arrest $ to run for congress and paid for his $ filing fee shealy paid for the fees with an unreported $ campaign contribution to his sister from laidlaw environmental services,English,1
14,lentartage de philippe douste-blazy en  a également donné lieu à un dépôt de plainte contre noël godin mais le procès a débouché sur une relaxe,French,0
15,reynolds was born in wiesbaden germany where his father a career military man was stationed he says he hails from nowhere because the family moved so often his family lived many places including germany a farm in indiana an army base in alaska kansas and missouri where he lived longer than any other place until he was old enough to move away as an adult both parents were extremely devout christians and he says he grew up with christian music all around him however his older sister owned some albums from the beatles which he says even as a very young child he loved instantly playing air guitar to their music,English,1
16,"since the days of the revolution a one-room stone schoolhouse had stood on a grassy area known as the common located close to the present intersection of south orange avenue and academy street in maplewood in  this building blocked the construction of a new toll highway from newark to morristown the  ""proprietors and associates"" of the school met on august  of that year and resolved to erect a new school building near the site of the old one naming seven trustees to thereafter oversee the education of local children the resolution reflected ""the desire of the meeting that the said school should in the future have the name of columbian school of south orange""",English,1
17,"obreption and subreption both from the latin word reporeptum genitive meaning to creep or crawl the prefix ob- means ""towards against or in the way of"" sub- means ""under or close to"" are terms used in ancient roman law and in the canon law applied by the catholic church to species of fraud by which an ecclesiastical rescript is obtained",English,1
18,la chapelle-dabondance relève de larrondissement de thonon-les-bains et de la cinquième circonscription de la haute-savoie dont le député est marc francina ump depuis les élections de ,French,0
19,the boys soccer team was coached by gene chyzowych one of the most successful active scholastic soccer coaches in the nation the  boys soccer team won the north ii group iv state sectional championship with a − win over westfield high school in the tournament final,English,1
20,aberllefenni is a village in the south of gwynedd wales it lies in the historic county of merionethshiresir feirionnydd in the valley of the afon dulas,English,1
21,cornus canadensis canadian dwarf cornel canadian bunchberry quatre-temps crackerberry creeping dogwood is a species of flowering plant in the cornaceae dogwood family native to eastern asia japan korea northeastern china jilin province and the russian far east the northern united states colorado new mexico canada and greenland unlike its relatives which are for the most part substantial trees and shrubs c canadensis is a creeping rhizomatous perennial growing to about  cm  in tall,English,1
22,durant son enfance adam young a révélé quil aimait faire du skateboard activité quil pratique toujours bien quil avoue dévouer la majeure partie de son temps à la création musicale,French,0
23,« une mise en scène efficace et quelques scènes dures servent le propos de ce film regard moderne sur une société où la soumission exigée des femmes va croissant »,French,0
24,en  elle achève son second roman sous la baguette du coudrier dont elle diffère la publication le  novembre  elle donne sa conférence réminiscence au cénacle libanais dont elle est le premier membre féminin,French,0
25,reynolds has a son josef born in february  with his wife linna in  he and girlfriend diane thomas had a daughter eura they resided in new mexico with her son jostin bileyu in  thomas moved with their children to north carolina tim followed to be near his daughter eura he currently resides in north carolina after living for  years in virginia and several years in new mexico on august st  reynolds married kristin nienkirchen in turks and caicos,English,1
26,the other more probable account starts in  when schyrleus is born in reutte austria after joining the augustine order in  he is sent to the university at ingolstadt where he probably follows courses in astronomy and learns how to grind lenses following his graduation he does not return to his convent but enters the capuchin order which sends him to linz in  where he is to teach philosophy here he comes in the service of kurfürst philipp christoph von sötern the archbishop of trier and speyer who is held captive by the emperor ferdinand iii the archbishop sends him on a mission to negotiate with pope urban viii the emperor however seeing this diplomatic activity as a form of spying bans schyrleus from his lands in [] from here on both accounts of schyrleus life come together,English,1
27,"there was a reaction to these changes complaints arose over so-called ""fads and frills""-inessentials said to be leading to the neglect of reading writing spelling and arithmetic new york papers read by local commuters campaigned for a return to the efficiency of the ""little old red schoolhouse"" but the changes were here to stay",English,1
28,"""west coast reggae group stick figure debuts first-ever music video for fire on the horizon track exclusive premiere"" billboard november  ",English,1
29,after a few months hearst provided information not on oath sworn testimony could have been used to convict her of sla activities to the authorities a bomb exploded at hearst castle in february after hearst testified that wolfe had raped her emily harris gave a magazine interview from prison alleging hearst retaining a trinket given to her by wolfe was an indication that she had been in a romantic relationship with him hearst said she had kept the stone carving because it seemed to be a pre columbian artifact of archeological significance harriss interpretation was used by the prosecutor james l browning jr and some jurors later said they regarded the carving which browning waved in front of them as powerful evidence that hearst was lying,English,1
30,miller est utilisé comme receveur réserviste par les équipes dont il porte les couleurs il na jamais disputé plus de  parties dans une même saison et a fait de fréquents séjours dans les ligues mineures depuis ses premiers matchs joués dans les majeures,French,0
31,le kabupaten de pontianak en indonésien kabupaten pontianak est un kabupaten dindonésie situé dans la province du kalimantan occidental son chef-lieu est mempawah,French,0
32,contrairement aux compagnies de théâtre baroque celles de commedia dell’arte employaient des actrices professionnelles au lieu de faire interpréter les rôles féminins par des hommes ce qui est le cas chez shakespeare par exemple qui sétait inspiré de la commedia dans la nuit des rois et dans la comédie des erreurs les troupes de commedia dell’arte étaient généralement composées de trois femmes et sept hommes les plus riches ayant un « poète maison »,French,0
33,the film introduces a romance involving wyatt earp and a fictional character based on lottie deno which played no factor in the actual gunfight nor did anything to advance the films plot,English,1
34,ilana salama ortar a reçu le prix des arts visuels de la loterie israélienne  et le prix du ministère de léducation en en israël pour les arts visuels  son travail a été soutenu par entre autres le collège académique de safed marseille provence  ateliers euro-méditerranée centre international de création et de formation arts électroniques de lécole des beaux arts de marseille la cité internationale des arts paris et la fondation beaumarchais,French,0
35,with the national team he played in the  world cup qualifiers in australia where iraq finished second behind the hosts the  and  asian cups in thailand and iran and in the olympic qualifiers in  and  douglas was also an important part of the iraqi army team that won the  and  cism world military championship,English,1
36,michel debré né le  janvier  dans le e arrondissement de paris et mort le  août  à montlouis-sur-loire est un homme détat français notamment le premier premier ministre de la ve république de  à  il est considéré comme l’un des « barons du gaullisme »,French,0
37,former deathwish professional antwuan dixon was imprisoned in mid- and stated in a july  thrasher magazine interview—conducted by reynolds and ellington—that he was scheduled to be released on august   dixon also explained that he may be released earlier,English,1
38,nangal jiwan is a village in nakodar in jalandhar district of punjab state india it is located  kilometres  mi from nakodar  kilometres  mi from kapurthala  kilometres  mi from district headquarter jalandhar and  kilometres  mi from state capital chandigarh the village is administrated by a sarpanch who is an elected representative of village as per panchayati raj india,English,1
39,entre - et - une phase qualificative permet de retenir  équipes pour disputer des seizièmes de finale ou  équipes pour disputer des huitièmes de finale on établissait un tableau des rencontres qui était fonction du classement des équipes pendant la phase de qualification le premier classé rencontrant le dernier qualifié le e l’avant dernier etc et la qualification pour les tours suivants se faisait en général sur un seul match,French,0
40,dans les films de jan bucquoy et de son producteur francis de smet il incarne entre autres une parodie de lécrivain belge pierre mertens voir  la vie sexuelle des belges - en  et camping cosmos en  et il joue son propre personnage dans la vie politique des belges en  et dans les vacances de noël en ,French,0
41,demotic ownership of productive resources is a kind of ownership which leads to the politicisation of the economy the real synthesis of economy and polity this is so because economic decision making is carried out by the entire community through the demotic assemblies where people make the fundamental macro-economic decisions which affect the whole community as citizens rather than as vocationally oriented groups eg workers as eg in parecon at the same time workers apart from participating in the demotic decisions about the overall planning targets would also participate in the above broad sense of vocationally oriented groups in their respective workplace assemblies in a process of modifyingimplementing the democratic plan and in running their own workplace,English,1
42,autrefois le terme désignait en charpenterie une porte mobile posée verticalement entre deux coulisses qui servait à retenir ou lâcher les eaux dune écluse ou dun étang,French,0
43,entre  et  les familles bustros en et tuéni partent pour l’égypte pour fuir la guerre eveline fait ses débuts littéraires dans la revue ébauche elle entreprend des recherches en vue d’un roman historique sur les premières années de lislam,French,0
44,several romance languages use the latin word acrifolium turned into aquifolium in modern time so italian agrifoglio occitan grefuèlh etc,English,1
45,"in october  the american civil liberties union filed a complaint against columbia high school and the south orange-maplewood school district in relation to its academic leveling and disciplinary systems stating that the overuse of discipline and ""zero-tolerance"" policy and implicit racial bias within the level selection system violate title vi of the civil rights act of  and section  of the rehabilitation act of  claims were made that the suspension rate for black students was five times higher than that for white students in a classroom environment in which black students were significantly underrepresented in ap and honors classes",English,1
46,lélite commence vraiment à se resserrer en - avec  équipes réparties en deux poules une de dix clubs lautre de onze les quatre premières équipes de chaque poule sont qualifiées pour disputer des quarts de finale la compétition se poursuivant par élimination directe jusquà la finale lélite est à nouveau réduite en - avec la création du top  avec seize clubs répartis en deux poules les quatre premiers clubs de chaque poule disputent ensuite des play-offs deux poules de quatre dont les deux premiers sont qualifiés pour les demi-finales cette formule est conservée jusquà la saison -,French,0
47,pierre-louis duchartre la comédie italienne  limprovisation les canevas vies caractères portraits masques des illustres personnages de la commedia dell’arte paris librairie de france ,French,0
48,à la suite de ces tensions le xv de france est boycotté par les équipes britanniques qui voient ces dérives d’un très mauvais œil au point d’être exclu du tournoi des cinq nations la ffr trouve enfin un accord en  avec les clubs entrés en dissidence mais les conséquences de la crise sont profondes  ses effectifs diminuent très fortement et le nombre de clubs passe de  en  à  en  et  en  de nombreux clubs arrêtent purement et simplement le rugby alors que dautres rejoignent le rugby à xiii professionnel lancé en  en france,French,0
49,le  avril  il est promu chef de brigade par le général en chef moreau et commandant la e demi-brigade de ligne employé dans la e division militaire il est fait chevalier de la légion d’honneur le  décembre  et officier de l’ordre le  juin ,French,0
50,en  jack heuer se consacre à sa passion pour le sport automobile et lance la montre heuer carrera hommage à la carrera panamericana des années  cette montre sera portée par de nombreux pilotes de course et donne naissance à lune des plus belles collections de la marque en  jack heuer présente un prototype du slalom timer à la foire horlogère de bâle il s’agit du premier instrument de chronométrage électronique précis au e de seconde[réf nécessaire],French,0
51,erik komatsu est dabord drafté par les yankees de new york qui le choisissent au e tour de sélection en  mais il ne signe pas avec léquipe il signe cependant avec les brewers de milwaukee qui en font leur choix de e ronde en  alors quil évolue à luniversité détat de californie à fullerton,French,0
52,daprès des travaux détienne pattou ces armoiries seraient nées du mariage en  dhenri de mesmes seigneur de roissy et malassise maîtres des requêtes et chancelier du royaume de navarre lieutenant civil et députés de paris avec jeanne hennequin fille doudard iv hennequin descendant de la famille gentien ou gentien derigné « de gueules à trois fasces ondées dargent à la bande dazur semée de fleurs de lys dor brochante » la bande dazur semée de fleurs de lys a été accordée par le roi philippe le iv « le bel » en mémoire du service rendu à la bataille de mons-en-pévèle en  par deux cousins jacques et pierre gentien,French,0
53,de  à  roissy vécut la situation de la france occupée le village fut libéré le mercredi  août  par les troupes américaines plusieurs écrits documents photographiques ou témoignages de roisséens relatent la libération de roissy-en-france par larmée américaine ainsi que les jours qui ont précédé cet évènement historique,French,0
54,la patrie sinspire pour la présentation des journaux français et américains contemporains « tout en suivant une ligne éditoriale et en offrant des articles d’opinion le journal a pour principale qualité d’être utile et agréable la patrie respire cette philosophie nouvelle et fait place chaque semaine à un feuilleton à un supplément musical à de la poésie ou à un courrier de la mode et passe en revue l’actualité locale nationale et internationale  se voulant populaire elle en donne au lecteur comme on dit pour son argent et contribue à inventer dans la presse canadienne-française le journal à bon marché rempli de renseignements et de nouvelles politiques aussi bien que variées»,French,0
55,sohail played a big role in pakistans world-cup triumph in  famously telling ian botham that he might want to send his mother-in-law in to bat referring to bothams statement that he wouldnt send even his mother-in-law to pakistan after botham was controversially given out for nought in the final sohails most infamous moment on the cricket field however was in the  world cup quarter final against arch rival india in bangalore sohail was captaining the side in pursuit of a relatively large target of  in  overs with opening partner saeed anwar he got pakistan off to a flying start with the score at  for one and saeed anwar  back in the pavilion sohail smashed a delivery from indian seamer venkatesh prasad through the covers for four both players exchanged words and sohail unnecessarily pointed his finger aggressively at prasad the next delivery clean-bowled him and triggered a batting collapse which ultimately lost the game and eliminated pakistan from the competition,English,1
56,martin rosen est un cinéaste et un dramaturge américain il a été réalisateur et producteur de plusieurs films pour le cinéma et la télévision son œuvre cinématographique la plus connue est son long métrage danimation la folle escapade watership down sorti en  il est le fondateur dune compagnie de cinéma et de théâtre nepenthe productions,French,0
57,le genre calligrapha regroupe plus de  espèces de coléoptères de la famille des chrysomelidae des insectes phytophages originaires des régions tempérées des amériques qui se nourrissent de nombreuses espèces darbres et arbrisseaux ils sont couramment appelés calligraphes en raison des motifs qui ornent leurs élytres,French,0
58,takis fotopoulos talk on the multidimensional crisis and inclusive democracy oxford university november  video in  parts part  talk part  talkdiscussion part  discussion retrieved  january ,English,1
59,notices dautorité  fichier d’autorité international virtuel • international standard name identifier • bibliothèque nationale de france données • système universitaire de documentation • bibliothèque du congrès • gemeinsame normdatei • bibliothèque royale des pays-bas • bibliothèque nationale de catalogne • worldcat,French,0
60,la topologie faible sur le groupe des difféomorphismes est la « topologie compacte-ouverte » au sens de la convergence uniforme sur tout compact de la fonction et de ses dérivées jusquà lordre k elle est métrisable par σ-compacité de m,French,0
61,signifiant littéralement « théâtre interprété par des gens de l’art » cest-à-dire des comédiens professionnels le terme est de nos jours utilisé dans de nombreuses langues parmi lesquelles le français ou langlais,French,0
62,"by june  google had indexed one billion internet urls or uniform resource locators making it the most comprehensive search engine on the web at the time the company cited nec research institute data in its june  press release stating that ""there are more than  billion web pages online today"" with google ""providing access to  million full-text indexed web pages and  million partially indexed urls""",English,1
63,le classement du championnat de france permet de déterminer les clubs admis à participer à la coupe deurope de rugby à xv et au challenge européen de rugby à xv les six ou sept clubs français les mieux classés au championnat de france participent à la coupe deurope les autres équipes de l’élite disputent le challenge européen,French,0
64,back in the us he made another film with blake edwards the thriller the carey treatment  it was badly cut by mgm and was commercially underwhelming so too was the honkers  where coburn played a rodeo rider,English,1
65,selon ses concepteurs lélément architectural principal a vocation à se distinguer de la rigidité des tours et barres construites à lépoque dans lagglomération nantaise son profil savère moins brutal satténuant par paliers successifs jusquau sol,French,0
66,joel hastings metcalf né le  janvier  à meadville en pennsylvanie et mort le  février  à portland dans le maine est un astronome américain,French,0
67,on a ignoré longtemps avec exactitude à quelle famille seigneuriale ces armoiries appartenaient il semblerait quelles soient très anciennes remontant aux e ou e siècles,French,0
68,à la libération il reprend son métier davocat il est avocat commis doffice de pierre laval en  avec ses confrères jacques baraduc et yves-frédéric jaffré mais ils demandent à être déchargés de cette mission « pour protester hautement devant lopinion afin quelle sache que dans une telle affaire il y a des avocats sans dossier » il sen explique dans son livre pourquoi je nai pas défendu laval et dans un article au monde en  il a été aussi lavocat dhenri béraud en  de louis-ferdinand céline de  à  dadrien marquet et dhenri labroue en  et a défendu également dautres collaborateurs pour la plupart condamnés à mort comme robert de beauplan mathilde carré ou trois anciens gardiens du camp de concentration de natzweiler-struthof en  sa conférence sur le thème « la justice partisane et lamnistie » a été interdite en ,French,0
69,avec un taux de taxe d’habitation de   en   la pression fiscale pour les particuliers à roissy était parmi les plus faibles du département et même de france il fallait néanmoins y ajouter   pour la part intercommunale le taux départemental du val-doise était fixé la même année à   de la valeur locative à titre de comparaison ce taux communal était de   à belloy-en-france   à luzarches ou encore   à survilliers communes du pays de france de populations équivalentes,French,0
70,en novembre  à loccasion des élections législatives qui suivent la dissolution de lassemblée nationale il tente de se faire élire député en indre-et-loire battu il décide en mars  à la suite de linvalidation de lélection de gabriel macé de se présenter à la réunion une île quil a découverte avec le président de la république lors dun voyage le  juillet  ce choix sexplique par sa crainte de voir ce qui reste de lempire colonial français suivre la voie empruntée par lalgérie une indépendance pour laquelle il nétait pas favorable à titre personnel ainsi michel debré prend acte de la fondation par paul vergès quelques années auparavant du parti communiste réunionnais un mouvement qui réclame activement lautonomie de lîle et la suppression du statut de dom,French,0
71,it cannot be too earnestly urged that an acquaintance with real facts will in the end be better for all parties some time ago when the reading public was alarmed at being told how london milk is adulterated timid persons deprecated the exposure on the plea that it would give instructions in the art of adulterating milk a vain fear milkmen knew all about it before whether they practiced it or not and the exposure only taught purchasers the necessity of a little scrutiny and caution leaving them to obey this necessity or not as they pleased,English,1
72,the lever tumbler lock which uses a set of levers to prevent the bolt from moving in the lock was perfected by robert barron in  his double acting lever lock required the lever to be lifted to a certain height by having a slot cut in the lever so lifting the lever too far was as bad as not lifting the lever far enough this type of lock is still currently used today,English,1
73,"burial ground met with a positive critical response with a number of critics noting the mixing of upbeat reggae and dub according to the reggae review ""original bass-heavy one drop beats are consistent throughout the album as are the subtle nuancesand sometimes not so subtle nuancesof dub stick figures digits remain firmly on the pulse of roots reggaedub music"" the pier stated ""the album represents a new milestone in stick figures musical growth and innovative abilities with more layering instrumental transcendence and lyrical complexity [than their previous albums]""",English,1
74,in march  while goodrem was undergoing cancer treatment for hodgkins disease higgins and carter announced plans to release the album they would shop the album around and begin a bidding war amongst record companies after the overwhelming success of goodrems debut album innocent eyes which sold over  million copies worldwide industry experts expected that bidding for the album could attract figures anywhere between $ million and $ million when goodrem and her family disapproved of the albums release a lawsuit was filed goodrems lawyers claimed the album was made up of unfinished demo recordings which were not fit for commercial release after much coverage in the media the case was settled in mediation in exchange for not releasing the album higgins and carter received an unspecified payout,English,1
75,douglas aziz shamasha eshaya arabic دوكلاص عزيز‎ born  january  is a former iraq national football player and caretaker coach he is from iraqs christian minority and an ethnic assyrian,English,1
76,la commedia dell’arte inspira les plus grands dramaturges français que ce soit pierre corneille lillusion comique le personnage de matamore molière qui partagea une salle pendant un temps avec les « comédiens italiens du roi » de la comédie-italienne et jf regnard qui écrivit pour ces comédiens parmi lesquels figurait le fameux scaramouche tiberio fiorelli et angelo constantini mezzetin le er des comédiens italiens à se démasquer et plus tard pierre carlet de chamblain de marivaux écrivit pour eux,French,0
77,on  august  carvajal was called up to the squad for the first time for matches against france and macedonia he made his debut on  september in a – friendly defeat to the former in which he played the full  minutes he was also selected for the uefa euro  tournament being dropped from the squad after an injury contracted whilst with his club,English,1
78,le sbs fera venir une chaleur épouvantable qui provoquera des maladies mortelles parmi les nations du monde mais sera pour les justes une source de guérison,French,0
79,lasm clermont auvergne détient un anti-record  les auvergnats ont participé à treize finales             et  mais nont gagné que celles de  et  le rc toulon lun de ses principaux rivaux des années  arrive juste derrière avec le même nombre de finales disputées  mais  de gagnées,French,0
80,"the comparison was also noted by the authors of the google story ""not since gutenberg  has any new invention empowered individuals and transformed access to information as profoundly as google"" also not long after the two ""cooked up their new engine for web searches they began thinking about information that was at the time beyond the web"" such as digitizing books and expanding health information",English,1
81,but for the id project the issue is not the dissolution of the privatepublic realm divide the real issue is how maintaining and enhancing the autonomy of the two realms such institutional arrangements are adopted that introduce democracy at the household and the social realm in general workplace educational establishment etcetera and at the same time enhance the institutional arrangements of political and economic democracy in this sense an effective democracy is only conceivable if free time is equally distributed among all citizens which requires ending the present hierarchical relations in the household the workplace and elsewhere furthermore democracy in the social realm particularly in the household requires institutional arrangements which recognise the character of the household as a need-satisfier and integrate the care and services that the household provides into the general scheme of needs satisfaction,English,1
82,rod shealy was born on december   to elsie née porth who worked as an executive for world book encyclopedia and ryan shealy a south carolina politician who served in the states house and senate he was the second of five children shealy attended lexington high school and graduated in  one of his sisters sherry shealy martschink  – served in both the sc house and senate and ran for lieutenant governor,English,1
83,weber ended his research of society and religion in india by bringing in insights from his previous work on china to discuss similarities of the asian belief systems he notes that the beliefs saw the meaning of life as otherworldy mystical experience the social world is fundamentally divided between the educated elite following the guidance of a prophet or wise man and the uneducated masses whose beliefs are centered on magic in asia there was no messianic prophecy to plan and meaning to the everyday life of educated and uneducated alike weber juxtaposed such messianic prophecies notably from the near east region to those found on the asiatic mainland focusing more on exemplary ways to live ones life it was those differences that prevented the countries of the occident from following the paths of the earlier chinese and indian civilizations his next work ancient judaism was an attempt to prove this theory,English,1
84,"chs has had a major addition every  to  years in the s an industrial arts wing brought students the skills needed during the great depression in the s a large addition now known as ""c-wing"" added classrooms to cope with increasing student numbers as well as a massive gymnasium bringing the total number of gyms to three in the early s a projected enrollment boom and the need for new science fine arts and industrial arts space created the need for ""b"" and ""d"" wings a new cafeteria the largest public school library at the time space for academic advising a now-gone small movie theater and av room and a tv studio were built with these additions the earlier  structure is only visible from the front facade and between later additions in  much of the space previously used for industrial arts such as wood shop and auto shop was transformed into a theatre performance and general use space in  renovations were completed on the main entryway reviving original stone and woodwork but with a conspicuous misspelling of the schools motto ""excelsior"" carved as ""excelcior"" into the masonry floor",English,1
85,louis stouff - les origines de lannexion de la haute-alsace à la bourgogne en   étude sur les terres engagées par lautriche en alsace depuis le xive siècle spécialement la seigneurie de florimont dijon  damidot nourry rey venot  paris  a rousseau   volxxv  p université de dijon revue bourguignonne de lenseignement supérieur  tome x nos  et ,French,0
86,demotic self-reliance is meant in terms of radical decentralisation and collective self-sufficiency in the sense of relying on the demos resources rather than in the sense of autarky,English,1
87,sur le plan idéologique beaugrand et son journal défendent un libéralisme radical qui correspond au vieux programme de linstitut canadien cela « non seulement l’entraîne dans de vives polémiques avec les conservateurs et le clergé mais l’oppose aussi aux libéraux modérés comme honoré mercier dont il dénonce la coalition avec les conservateurs nationaux et wilfrid laurier qui se méfie de lui et réussira bientôt à l’écarter»,French,0
88,after serving  years as an assistant coach including the previous four at california kennedys first collegiate head coaching job came at centenary there he took over a program that had won only  games in the previous three seasons his first team won  games but his second improved to a - overall record and a - trans america athletic conference mark its best finish in five years,English,1
89,as of  the gender distribution of the population was  male and  female the population was made up of  swiss men  of the population and   non-swiss men there were  swiss women  and   non-swiss women of the population in the municipality  or about  were born in leytron and lived there in  there were  or  who were born in the same canton while  or  were born somewhere else in switzerland and  or  were born outside of switzerland,English,1
90,notices dautorité  fichier d’autorité international virtuel • international standard name identifier • bibliothèque nationale de france données • système universitaire de documentation • bibliothèque du congrès • gemeinsame normdatei • bibliothèque universitaire de pologne • base de bibliothèque norvégienne • worldcat,French,0
91,une vanne est un dispositif destiné à contrôler stopper ou modifier le débit dun fluide liquide gazeux pulvérulent ou multiphasique en milieu libre canal ou en milieu fermé canalisation,French,0
92,the phylogeography of this group provides examples of various speciation mechanisms at work in this scenario ancestors of this group became isolated from the remaining ilex when the earth mass broke away into gondwana and laurasia about  million years ago resulting in a physical separation of the groups and beginning a process of change to adapt to new conditions this mechanism is called allopatric speciation over time survivor species of the holly genus adapted to different ecological niches this led to reproductive isolation an example of ecological speciation in the pliocene around five million years ago mountain formation diversified the landscape and provided new opportunities for speciation within the genus,English,1
93,ike clanton was never the leader of the cowboys old man clanton controlled the gang until he was killed in  and leadership of the gang fell to curly bill brocis and johnny ringo,English,1
94,carvajal started in real madrids triumphs in the  uefa super cup over compatriots sevilla fc and in that years fifa club world cup final against argentinas san lorenzo de almagro in the first leg of the champions leagues semi-finals on  may  he conceded a penalty by fouling carlos tevez with the juventus fc forward converting the spot-kick to defeat the spaniards –,English,1
95,the  qatar motorcycle grand prix was the fourteenth round of the  motogp championship it took place on the weekend of  september- october  at the losail international circuit,English,1
96,sans club il sentraine un temps avec le red star  cfa et songe un temps à rejoindre leffectif de la banlieue parisienne finalement la piste dun ultime challenge sportif de haut niveau est abandonné lex-joueur se consacre alors au beach-soccer et à lindoor,French,0
97,le championnat - réunit pour la première fois une poule unique de seize clubs les quatre premières équipes sont qualifiées pour disputer les demi-finales le championnat prend le nom de top  à partir de la saison - comme son nom lindique quatorze clubs disputent cette compétition les quatre premières équipes sont qualifiées pour les demi-finales à noter que les deux premiers du championnat ne disposent pas de lavantage du terrain les demi-finales se jouant sur terrain neutre lavantage de terminer à lune des deux premières places est donc limité,French,0
98,melvin eugene carnahan dit mel carnahan est un homme politique américain né le  février  et mort le  octobre  dans un accident davion membre du parti démocrate il est le e gouverneur du missouri de  à sa mort,French,0
99,le schéma intégrant notamment cette évolution est approuvé par un arrêté préfectoral du  mars  et la communauté de communes du ternois dont la commune est désormais membre est créée par un arrêté préfectoral du  août  qui a pris effet le er janvier ,French,0
100,philip cortelyou johnson july   – january   was an american architect he is best known for his works of modern architecture including the glass house in new canaan connecticut and his works of postmodern architecture particularly  madison avenue which was designed for att and  south la salle street in chicago in  he was awarded an american institute of architects gold medal and in  the first pritzker architecture prize,English,1
101, rambaldo est un astéroïde de la ceinture principale dastéroïdes il fut découvert le  septembre  à lobservatoire du mont palomar par cornelis johannes van houten ingrid van houten-groeneveld et tom gehrels il présente une orbite caractérisée par un demi-grand axe de  ua une excentricité de  et une inclinaison de ° par rapport à lécliptique,French,0
102,in  scott woodruff relocated from san diego to a home in the woods in the outskirts of santa cruz immediately after relocating to his new home woodruff built ruffwood studios where he recorded the subsequent stick figure album set in stone woodruff found much inspiration for this album from the redwood forest just outside of his studio,English,1
103,in its effects subreption is equivalent to obreption subreption may be intentional and malicious or attributable solely to ignorance or inadvertence it may affect the primary substantial reason or motive of the grant or constitute merely a secondary or impellent cause of the concession,English,1
104,un éditeur html ou éditeur web est un logiciel conçu pour faciliter la préparation et la modification de documents écrits en hypertext markup language html un document html est le principal composant dune page web il existe deux catégories déditeur ,French,0
105,la population de la commune est relativement âgée le taux de personnes dun âge supérieur à  ans   est en effet supérieur au taux national   et au taux départemental   contrairement aux répartitions nationale et départementale la population masculine de la commune est supérieure à la population féminine   contre   au niveau national et   au niveau départemental,French,0
